Chebyshev_3_ordem_teste_4.8 De-Embedded
Frequency GHz, DB[S21]
1e-009,-0.113208
0.01,-0.0976752
0.02,-0.084679
0.03,-0.0741188
0.04,-0.0658877
0.05,-0.0598726
0.06,-0.0559554
0.07,-0.0540133
0.08,-0.05392
0.09,-0.0555461
0.1,-0.0587604
0.11,-0.06343
0.12,-0.069422
0.13,-0.0766036
0.14,-0.084843
0.15,-0.0940101
0.16,-0.103977
0.17,-0.11462
0.18,-0.125817
0.19,-0.13745
0.2,-0.149407
0.21,-0.161579
0.22,-0.173862
0.23,-0.186159
0.24,-0.198375
0.25,-0.210423
0.26,-0.222221
0.27,-0.233693
0.28,-0.244768
0.29,-0.25538
0.3,-0.265471
0.31,-0.274987
0.32,-0.28388
0.33,-0.292109
0.34,-0.299637
0.35,-0.306434
0.36,-0.312474
0.37,-0.317738
0.38,-0.322212
0.39,-0.325887
0.4,-0.328758
0.41,-0.330827
0.42,-0.3321
0.43,-0.332587
0.44,-0.332303
0.45,-0.331268
0.46,-0.329505
0.47,-0.327042
0.48,-0.323911
0.49,-0.320148
0.5,-0.315794
0.51,-0.310892
0.52,-0.305491
0.53,-0.299643
0.54,-0.293406
0.55,-0.286842
0.56,-0.280017
0.57,-0.273002
0.58,-0.265874
0.59,-0.258715
0.6,-0.251614
0.61,-0.244665
0.62,-0.237969
0.63,-0.231631
0.64,-0.225767
0.65,-0.220498
0.66,-0.215951
0.67,-0.212263
0.68,-0.209578
0.69,-0.208044
0.7,-0.207822
0.71,-0.209077
0.72,-0.211981
0.73,-0.216713
0.74,-0.22346
0.75,-0.231275
0.76,-0.241362
0.77,-0.253929
0.78,-0.269191
0.79,-0.287364
0.8,-0.308666
0.81,-0.333318
0.82,-0.361539
0.83,-0.393544
0.84,-0.429546
0.85,-0.469749
0.86,-0.514351
0.87,-0.563537
0.88,-0.61748
0.89,-0.676339
0.9,-0.740256
0.91,-0.809354
0.92,-0.883736
0.93,-0.963483
0.94,-1.04866
0.95,-1.13929
0.96,-1.23539
0.97,-1.33695
0.98,-1.44394
0.99,-1.55629
1,-1.67391
1.01,-1.79671
1.02,-1.92455
1.03,-2.05729
1.04,-2.19478
1.05,-2.33682
1.06,-2.48324
1.07,-2.63383
1.08,-2.78838
1.09,-2.94667
1.1,-3.10848
1.11,-3.27359
1.12,-3.44175
1.13,-3.61276
1.14,-3.78637
1.15,-3.96237
1.16,-4.14055
1.17,-4.32067
1.18,-4.50255
1.19,-4.68597
1.2,-4.87075
1.21,-5.0567
1.22,-5.24364
1.23,-5.4314
1.24,-5.61982
1.25,-5.80875
1.26,-5.99805
1.27,-6.18758
1.28,-6.3772
1.29,-6.56681
1.3,-6.75629
1.31,-6.94553
1.32,-7.13444
1.33,-7.32292
1.34,-7.51089
1.35,-7.69801
1.36,-7.88444
1.37,-8.07012
1.38,-8.25499
1.39,-8.439
1.4,-8.6221
1.41,-8.80425
1.42,-8.9854
1.43,-9.16553
1.44,-9.34459
1.45,-9.52257
1.46,-9.69943
1.47,-9.87516
1.48,-10.0497
1.49,-10.2231
1.5,-10.3953
1.51,-10.5663
1.52,-10.7361
1.53,-10.9047
1.54,-11.072
1.55,-11.2381
1.56,-11.403
1.57,-11.5666
1.58,-11.729
1.59,-11.8901
1.6,-12.05
1.61,-12.2086
1.62,-12.366
1.63,-12.5222
1.64,-12.6771
1.65,-12.8307
1.66,-12.9832
1.67,-13.1344
1.68,-13.2844
1.69,-13.4332
1.7,-13.5807
