Chebyshev_3_ordem_teste_4.4 De-Embedded
Frequency GHz, DB[S21]
1e-009,-0.0765298
0.01,-0.00487071
0.02,-0.00909309
0.03,-0.0130471
0.04,-0.0171708
0.05,-0.0215468
0.06,-0.0261962
0.07,-0.0311217
0.08,-0.036318
0.09,-0.0417754
0.1,-0.0474817
0.11,-0.0534222
0.12,-0.0595809
0.13,-0.0659402
0.14,-0.0724814
0.15,-0.0791847
0.16,-0.0860296
0.17,-0.0929944
0.18,-0.100057
0.19,-0.107195
0.2,-0.114385
0.21,-0.121604
0.22,-0.128828
0.23,-0.136032
0.24,-0.143193
0.25,-0.150286
0.26,-0.157288
0.27,-0.164174
0.28,-0.17092
0.29,-0.177502
0.3,-0.183898
0.31,-0.190084
0.32,-0.196039
0.33,-0.20174
0.34,-0.207166
0.35,-0.212297
0.36,-0.217115
0.37,-0.2216
0.38,-0.225737
0.39,-0.22951
0.4,-0.232905
0.41,-0.23591
0.42,-0.238515
0.43,-0.240713
0.44,-0.242498
0.45,-0.243866
0.46,-0.244616
0.47,-0.244942
0.48,-0.244849
0.49,-0.244346
0.5,-0.243441
0.51,-0.242151
0.52,-0.240492
0.53,-0.238485
0.54,-0.236157
0.55,-0.233537
0.56,-0.230659
0.57,-0.227561
0.58,-0.224288
0.59,-0.220888
0.6,-0.217414
0.61,-0.213927
0.62,-0.210491
0.63,-0.207178
0.64,-0.204065
0.65,-0.201236
0.66,-0.19878
0.67,-0.196795
0.68,-0.195384
0.69,-0.194656
0.7,-0.19473
0.71,-0.195728
0.72,-0.197781
0.73,-0.201026
0.74,-0.205607
0.75,-0.211673
0.76,-0.219378
0.77,-0.228885
0.78,-0.240356
0.79,-0.253963
0.8,-0.269876
0.81,-0.288272
0.82,-0.309326
0.83,-0.333215
0.84,-0.360115
0.85,-0.390201
0.86,-0.423675
0.87,-0.460683
0.88,-0.501387
0.89,-0.545942
0.9,-0.594493
0.91,-0.647177
0.92,-0.704116
0.93,-0.765422
0.94,-0.831191
0.95,-0.901504
0.96,-0.976425
0.97,-1.056
0.98,-1.14027
0.99,-1.22923
1,-1.32288
1.01,-1.4212
1.02,-1.52414
1.03,-1.63165
1.04,-1.74365
1.05,-1.86004
1.06,-1.98071
1.07,-2.10556
1.08,-2.23443
1.09,-2.36719
1.1,-2.50369
1.11,-2.64375
1.12,-2.78722
1.13,-2.9339
1.14,-3.08364
1.15,-3.23624
1.16,-3.39152
1.17,-3.5493
1.18,-3.70936
1.19,-3.87155
1.2,-4.0357
1.21,-4.20163
1.22,-4.36917
1.23,-4.53815
1.24,-4.70841
1.25,-4.87981
1.26,-5.05219
1.27,-5.22541
1.28,-5.39933
1.29,-5.57383
1.3,-5.74878
1.31,-5.92407
1.32,-6.09958
1.33,-6.27521
1.34,-6.45087
1.35,-6.62646
1.36,-6.80189
1.37,-6.97709
1.38,-7.15197
1.39,-7.32648
1.4,-7.50054
1.41,-7.6741
1.42,-7.84709
1.43,-8.01947
1.44,-8.19119
1.45,-8.3622
1.46,-8.53247
1.47,-8.70195
1.48,-8.87062
1.49,-9.03844
1.5,-9.20539
1.51,-9.37144
1.52,-9.53656
1.53,-9.70074
1.54,-9.86396
1.55,-10.0262
1.56,-10.1874
1.57,-10.3477
1.58,-10.5069
1.59,-10.6651
1.6,-10.8223
1.61,-10.9784
1.62,-11.1335
1.63,-11.2875
1.64,-11.4405
1.65,-11.5924
1.66,-11.7432
1.67,-11.893
1.68,-12.0418
1.69,-12.1894
1.7,-12.336
1.71,-12.4816
1.72,-12.6261
1.73,-12.7695
1.74,-12.9119
1.75,-13.0533
1.76,-13.1936
1.77,-13.3329
1.78,-13.4711
1.79,-13.6083
1.8,-13.7445
1.81,-13.8796
1.82,-14.0138
1.83,-14.1469
1.84,-14.2791
1.85,-14.4102
1.86,-14.5404
1.87,-14.6695
1.88,-14.7977
1.89,-14.925
1.9,-15.0512
1.91,-15.1765
1.92,-15.3008
1.93,-15.4242
1.94,-15.5467
1.95,-15.6682
1.96,-15.7888
1.97,-15.9085
1.98,-16.0272
1.99,-16.145
2,-16.262
2.01,-16.378
2.02,-16.4932
2.03,-16.6074
2.04,-16.7208
2.05,-16.8333
2.06,-16.9449
2.07,-17.0557
2.08,-17.1656
2.09,-17.2747
2.1,-17.3829
2.11,-17.4903
2.12,-17.5968
2.13,-17.7025
2.14,-17.8074
2.15,-17.9115
2.16,-18.0147
2.17,-18.1172
2.18,-18.2188
2.19,-18.3197
2.2,-18.4197
2.21,-18.5189
2.22,-18.6174
2.23,-18.7151
2.24,-18.812
2.25,-18.9081
2.26,-19.0034
2.27,-19.098
2.28,-19.1918
2.29,-19.2849
2.3,-19.3772
2.31,-19.4688
2.32,-19.5596
2.33,-19.6496
2.34,-19.739
2.35,-19.8275
2.36,-19.9154
2.37,-20.0025
2.38,-20.0889
2.39,-20.1745
2.4,-20.2595
2.41,-20.3437
2.42,-20.4272
2.43,-20.5099
2.44,-20.592
2.45,-20.6734
2.46,-20.754
2.47,-20.834
2.48,-20.9132
2.49,-20.9917
2.5,-21.0696
2.51,-21.1467
2.52,-21.2231
2.53,-21.2989
2.54,-21.3739
2.55,-21.4483
2.56,-21.522
2.57,-21.5949
2.58,-21.6672
2.59,-21.7389
2.6,-21.8098
2.61,-21.88
2.62,-21.9496
2.63,-22.0185
2.64,-22.0867
2.65,-22.1543
2.66,-22.2211
2.67,-22.2873
2.68,-22.3528
2.69,-22.4177
2.7,-22.4819
2.71,-22.5454
2.72,-22.6082
2.73,-22.6704
2.74,-22.7319
2.75,-22.7927
2.76,-22.8528
2.77,-22.9123
2.78,-22.9712
2.79,-23.0294
2.8,-23.0869
2.81,-23.1437
2.82,-23.1999
2.83,-23.2554
2.84,-23.3103
2.85,-23.3645
2.86,-23.418
2.87,-23.4709
2.88,-23.5231
2.89,-23.5747
2.9,-23.6256
2.91,-23.6758
2.92,-23.7254
2.93,-23.7744
2.94,-23.8227
2.95,-23.8703
2.96,-23.9172
2.97,-23.9636
2.98,-24.0092
2.99,-24.0542
3,-24.0986

