Butterworth_3_ordem De-Embedded
Frequency GHz, DB[S21]
1e-009,-2.78096
0.01,-0.00696051
0.02,-0.0119501
0.03,-0.0158839
0.04,-0.0195282
0.05,-0.023036
0.06,-0.0264583
0.07,-0.0298172
0.08,-0.0331242
0.09,-0.0363863
0.1,-0.0396086
0.11,-0.0427956
0.12,-0.0459514
0.13,-0.0490807
0.14,-0.052189
0.15,-0.0552824
0.16,-0.0583685
0.17,-0.0614561
0.18,-0.0645557
0.19,-0.0676798
0.2,-0.0708428
0.21,-0.0740618
0.22,-0.077356
0.23,-0.0807479
0.24,-0.084263
0.25,-0.0879302
0.26,-0.0917821
0.27,-0.095855
0.28,-0.10019
0.29,-0.104832
0.3,-0.10983
0.31,-0.115241
0.32,-0.121123
0.33,-0.127544
0.34,-0.134573
0.35,-0.142287
0.36,-0.150771
0.37,-0.160113
0.38,-0.170409
0.39,-0.18176
0.4,-0.194275
0.41,-0.208067
0.42,-0.223256
0.43,-0.239968
0.44,-0.258335
0.45,-0.278494
0.46,-0.300584
0.47,-0.324753
0.48,-0.351153
0.49,-0.379933
0.5,-0.411248
0.51,-0.445251
0.52,-0.482099
0.53,-0.521944
0.54,-0.564938
0.55,-0.611229
0.56,-0.660959
0.57,-0.714265
0.58,-0.771275
0.59,-0.83211
0.6,-0.896879
0.61,-0.965681
0.62,-1.0386
0.63,-1.11571
0.64,-1.19707
0.65,-1.28271
0.66,-1.37267
0.67,-1.46695
0.68,-1.56554
0.69,-1.66843
0.7,-1.77557
0.71,-1.88689
0.72,-2.00234
0.73,-2.12182
0.74,-2.24522
0.75,-2.37244
0.76,-2.50334
0.77,-2.63779
0.78,-2.77563
0.79,-2.91672
0.8,-3.06088
0.81,-3.20795
0.82,-3.35776
0.83,-3.51012
0.84,-3.66485
0.85,-3.82179
0.86,-3.98074
0.87,-4.14154
0.88,-4.304
0.89,-4.46795
0.9,-4.63322
0.91,-4.79965
0.92,-4.96707
0.93,-5.13535
0.94,-5.30432
0.95,-5.47383
0.96,-5.64375
0.97,-5.81395
0.98,-5.9843
0.99,-6.15468
1,-6.32497
1.01,-6.49507
1.02,-6.66488
1.03,-6.8343
