cauer_3_ordem_2_5_90 De-Embedded
Frequency GHz, DB[S21]
1e-009,-0.391758
0.01,-0.00491399
0.02,-0.00833395
0.03,-0.0110177
0.04,-0.0135081
0.05,-0.0159112
0.06,-0.0182624
0.07,-0.0205782
0.08,-0.0228687
0.09,-0.0251414
0.1,-0.027402
0.11,-0.0296549
0.12,-0.0319033
0.13,-0.0341492
0.14,-0.0363934
0.15,-0.0386363
0.16,-0.0408769
0.17,-0.0431141
0.18,-0.0453462
0.19,-0.0475712
0.2,-0.0497868
0.21,-0.0519909
0.22,-0.0541812
0.23,-0.0563554
0.24,-0.0585114
0.25,-0.0606473
0.26,-0.0627611
0.27,-0.0648514
0.28,-0.0669168
0.29,-0.0689562
0.3,-0.070969
0.31,-0.0729545
0.32,-0.0749128
0.33,-0.0768445
0.34,-0.0787501
0.35,-0.0806311
0.36,-0.0824894
0.37,-0.0843274
0.38,-0.0861483
0.39,-0.087956
0.4,-0.0897552
0.41,-0.0915514
0.42,-0.0933511
0.43,-0.0951617
0.44,-0.0969917
0.45,-0.0988508
0.46,-0.10075
0.47,-0.102701
0.48,-0.104718
0.49,-0.106816
0.5,-0.109011
0.51,-0.111322
0.52,-0.113768
0.53,-0.116373
0.54,-0.119159
0.55,-0.122152
0.56,-0.125381
0.57,-0.128876
0.58,-0.132671
0.59,-0.136799
0.6,-0.141299
0.61,-0.146212
0.62,-0.151581
0.63,-0.157453
0.64,-0.163877
0.65,-0.170905
0.66,-0.178594
0.67,-0.187002
0.68,-0.196192
0.69,-0.20623
0.7,-0.217185
0.71,-0.229131
0.72,-0.242144
0.73,-0.256304
0.74,-0.271695
0.75,-0.288405
0.76,-0.306546
0.77,-0.326194
0.78,-0.347446
0.79,-0.370404
0.8,-0.395169
0.81,-0.421851
0.82,-0.450556
0.83,-0.481396
0.84,-0.514484
0.85,-0.549935
0.86,-0.587864
0.87,-0.628386
0.88,-0.671617
0.89,-0.717674
0.9,-0.76667
0.91,-0.818718
0.92,-0.873928
0.93,-0.932408
0.94,-0.994262
0.95,-1.05959
0.96,-1.12848
0.97,-1.20104
0.98,-1.27733
0.99,-1.35744
1,-1.44143
1.01,-1.52937
1.02,-1.62131
1.03,-1.71729
1.04,-1.81734
1.05,-1.9215
1.06,-2.02977
1.07,-2.14217
1.08,-2.25869
1.09,-2.37932
1.1,-2.50403
1.11,-2.63279
1.12,-2.76556
1.13,-2.9023
1.14,-3.04295
1.15,-3.18744
1.16,-3.33571
1.17,-3.48768
1.18,-3.64326
1.19,-3.80237
1.2,-3.96493
1.21,-4.13083
1.22,-4.29997
1.23,-4.47227
1.24,-4.64761
1.25,-4.8259
1.26,-5.00703
1.27,-5.19091
1.28,-5.37742
1.29,-5.56648
1.3,-5.75799
1.31,-5.95184
1.32,-6.14795
1.33,-6.34622
1.34,-6.54657
1.35,-6.74891
