cauer_5_ordem_2_90 De-Embedded
Frequency GHz, DB[S21]
1e-009,-0.700162
0.01,-0.0106953
0.02,-0.0178514
0.03,-0.0240956
0.04,-0.0297865
0.05,-0.035139
0.06,-0.0403231
0.07,-0.0454585
0.08,-0.050614
0.09,-0.055811
0.1,-0.0610341
0.11,-0.0662511
0.12,-0.0714261
0.13,-0.0765277
0.14,-0.081533
0.15,-0.0864282
0.16,-0.0912079
0.17,-0.0958739
0.18,-0.100433
0.19,-0.104893
0.2,-0.109266
0.21,-0.113562
0.22,-0.117792
0.23,-0.121966
0.24,-0.12609
0.25,-0.130174
0.26,-0.134226
0.27,-0.138254
0.28,-0.142268
0.29,-0.146278
0.3,-0.150297
0.31,-0.154341
0.32,-0.158426
0.33,-0.162569
0.34,-0.166792
0.35,-0.171117
0.36,-0.175564
0.37,-0.18016
0.38,-0.184927
0.39,-0.189889
0.4,-0.195069
0.41,-0.200498
0.42,-0.206186
0.43,-0.212151
0.44,-0.218408
0.45,-0.224968
0.46,-0.231838
0.47,-0.239019
0.48,-0.246509
0.49,-0.2543
0.5,-0.262376
0.51,-0.270719
0.52,-0.279302
0.53,-0.288094
0.54,-0.297057
0.55,-0.30615
0.56,-0.315328
0.57,-0.324542
0.58,-0.333745
0.59,-0.342889
0.6,-0.35193
0.61,-0.360834
0.62,-0.369576
0.63,-0.378148
0.64,-0.386562
0.65,-0.394861
0.66,-0.403121
0.67,-0.411466
0.68,-0.420074
0.69,-0.429192
0.7,-0.439146
0.71,-0.450361
0.72,-0.463374
0.73,-0.478854
0.74,-0.497623
0.75,-0.520672
0.76,-0.549182
0.77,-0.584539
0.78,-0.62835
0.79,-0.682443
0.8,-0.748864
0.81,-0.829859
0.82,-0.927836
0.83,-1.04531
0.84,-1.18482
0.85,-1.34885
0.86,-1.53967
0.87,-1.75929
0.88,-2.00926
0.89,-2.29061
0.9,-2.60379
0.91,-2.94861
0.92,-3.32425
0.93,-3.72932
0.94,-4.16194
0.95,-4.61989
0.96,-5.10064
0.97,-5.60157
0.98,-6.12003
0.99,-6.65341
1,-7.19926
1.01,-7.7553
1.02,-8.31946
1.03,-8.88992
1.04,-9.46504
1.05,-10.0434
1.06,-10.6239
1.07,-11.2055
1.08,-11.7873
1.09,-12.3687
1.1,-12.949
1.11,-13.5279
1.12,-14.1051
1.13,-14.6802
1.14,-15.2531
1.15,-15.8237
1.16,-16.3918
1.17,-16.9576
1.18,-17.5209
1.19,-18.0818
1.2,-18.6405
1.21,-19.197
1.22,-19.7514
1.23,-20.3038
1.24,-20.8545
1.25,-21.4035
1.26,-21.9512
1.27,-22.4975
1.28,-23.0429
1.29,-23.5874
1.3,-24.1312
1.31,-24.6747
1.32,-25.2181
1.33,-25.7616
1.34,-26.3054
1.35,-26.85
1.36,-27.3954
1.37,-27.9421
1.38,-28.4904
1.39,-29.0406
1.4,-29.593
1.41,-30.148
1.42,-30.7061
1.43,-31.2676
1.44,-31.8329
1.45,-32.4026
1.46,-32.9772
1.47,-33.5572
1.48,-34.1432
1.49,-34.7359
1.5,-35.3359
1.51,-35.9441
1.52,-36.5612
1.53,-37.1883
1.54,-37.8263
1.55,-38.4764
1.56,-39.1399
1.57,-39.8183
1.58,-40.5131
1.59,-41.2263
