Chebyshev_7_ordem De-Embedded
Frequency GHz, DB[S21]
1e-009,-0.119294
0.01,-0.0155452
0.02,-0.0278419
0.03,-0.0385768
0.04,-0.0503963
0.05,-0.0649792
0.06,-0.080757
0.07,-0.0960194
0.08,-0.110258
0.09,-0.123405
0.1,-0.135678
0.11,-0.147395
0.12,-0.158691
0.13,-0.169488
0.14,-0.179593
0.15,-0.188792
0.16,-0.196898
0.17,-0.204747
0.18,-0.211422
0.19,-0.216894
0.2,-0.221196
0.21,-0.22442
0.22,-0.226713
0.23,-0.228266
0.24,-0.22931
0.25,-0.230103
0.26,-0.23092
0.27,-0.232049
0.28,-0.233774
0.29,-0.236369
0.3,-0.240087
0.31,-0.245152
0.32,-0.25175
0.33,-0.260022
0.34,-0.270057
0.35,-0.28189
0.36,-0.295497
0.37,-0.310793
0.38,-0.327638
0.39,-0.345834
0.4,-0.365133
0.41,-0.385244
0.42,-0.405837
0.43,-0.426561
0.44,-0.447043
0.45,-0.46691
0.46,-0.485796
0.47,-0.503353
0.48,-0.519269
0.49,-0.533273
0.5,-0.545153
0.51,-0.554765
0.52,-0.56204
0.53,-0.566999
0.54,-0.569754
0.55,-0.570519
0.56,-0.569607
0.57,-0.567432
0.58,-0.5645
0.59,-0.561403
0.6,-0.558801
0.61,-0.557399
0.62,-0.557918
0.63,-0.561064
0.64,-0.567484
0.65,-0.577729
0.66,-0.593575
0.67,-0.613894
0.68,-0.638654
0.69,-0.667572
0.7,-0.700104
0.71,-0.73545
0.72,-0.772582
0.73,-0.810291
0.74,-0.84726
0.75,-0.882171
0.76,-0.913836
0.77,-0.941382
0.78,-0.964478
0.79,-0.983638
0.8,-1.0006
0.81,-1.01879
0.82,-1.0439
0.83,-1.08444
0.84,-1.15227
0.85,-1.26274
0.86,-1.43413
0.87,-1.68608
0.88,-2.03673
0.89,-2.49921
0.9,-3.07851
0.91,-3.76979
0.92,-4.55985
0.93,-5.42998
0.94,-6.35948
0.95,-7.32863
0.96,-8.32045
0.97,-9.32135
0.98,-10.3211
0.99,-11.3122
1,-12.2897
1.01,-13.25
1.02,-14.1912
1.03,-15.112
1.04,-16.012
1.05,-16.891
1.06,-17.7492
1.07,-18.5871
1.08,-19.4052
1.09,-20.2041
1.1,-20.9846
1.11,-21.7471
1.12,-22.4925
1.13,-23.2214
1.14,-23.9343
1.15,-24.632
1.16,-25.315
1.17,-25.9838
1.18,-26.6389
1.19,-27.281
1.2,-27.9103
1.21,-28.5275
1.22,-29.1328
1.23,-29.7268
1.24,-30.3097
1.25,-30.882
1.26,-31.4439
1.27,-31.9958
1.28,-32.538
1.29,-33.0708
1.3,-33.5944
1.31,-34.1092
1.32,-34.6152
1.33,-35.1129
1.34,-35.6024
1.35,-36.0838
1.36,-36.5575
1.37,-37.0236
1.38,-37.4823
1.39,-37.9332
1.4,-38.377
1.41,-38.8139
1.42,-39.244
1.43,-39.6675
1.44,-40.0844
1.45,-40.495
1.46,-40.8993
1.47,-41.2976
1.48,-41.6898
1.49,-42.0762
1.5,-42.4568
1.51,-42.8317
1.52,-43.2011
1.53,-43.565
1.54,-43.9235
1.55,-44.2767
1.56,-44.6248
1.57,-44.9678
1.58,-45.3057
1.59,-45.6387
1.6,-45.9668
1.61,-46.2902
1.62,-46.6088
1.63,-46.9228
1.64,-47.2321
1.65,-47.537
1.66,-47.8375
1.67,-48.1335
1.68,-48.4252
1.69,-48.7126
1.7,-48.9958
1.71,-49.2749
1.72,-49.5498
1.73,-49.8207
1.74,-50.0875
1.75,-50.3504
1.76,-50.6094
1.77,-50.8644
1.78,-51.1157
1.79,-51.3631
1.8,-51.6068
1.81,-51.8468
1.82,-52.0831
1.83,-52.3158
1.84,-52.5448
1.85,-52.7703
1.86,-52.9922
1.87,-53.2106
1.88,-53.4255
1.89,-53.637
1.9,-53.845
1.91,-54.0496
1.92,-54.2508
1.93,-54.4487
1.94,-54.6432
1.95,-54.8344
1.96,-55.0222
1.97,-55.2068
1.98,-55.3881
1.99,-55.5662
2,-55.741
2.01,-55.9126
2.02,-56.081
2.03,-56.2462
2.04,-56.4082
2.05,-56.567
2.06,-56.7227
2.07,-56.8752
2.08,-57.0245
2.09,-57.1707
2.1,-57.3137
2.11,-57.4546
2.12,-57.5926
2.13,-57.7276
2.14,-57.8597
2.15,-57.989
2.16,-58.1154
2.17,-58.2389
2.18,-58.3596
2.19,-58.4775
2.2,-58.5926
2.21,-58.7049
2.22,-58.8144
2.23,-58.9212
2.24,-59.0252
2.25,-59.1265
2.26,-59.2251
2.27,-59.321
2.28,-59.4141
2.29,-59.5046
2.3,-59.5924
2.31,-59.6775
2.32,-59.7599
2.33,-59.8397
2.34,-59.9168
2.35,-59.9913
2.36,-60.063
2.37,-60.1322
2.38,-60.1986
2.39,-60.2624
2.4,-60.3236
2.41,-60.382
2.42,-60.4378
2.43,-60.4908
2.44,-60.5412
2.45,-60.5888
2.46,-60.6337
2.47,-60.6759
2.48,-60.7152
2.49,-60.7518
2.5,-60.7856
2.51,-60.8165
2.52,-60.8445
2.53,-60.8697
2.54,-60.8919
2.55,-60.9111
2.56,-60.9273
2.57,-60.9405
2.58,-60.9506
2.59,-60.9576
2.6,-60.9614
2.61,-60.9619
2.62,-60.9592
2.63,-60.9531
2.64,-60.9436
2.65,-60.9306
2.66,-60.9141
2.67,-60.894
2.68,-60.8702
2.69,-60.8426
2.7,-60.8111
2.71,-60.7758
2.72,-60.7363
2.73,-60.6928
2.74,-60.645
2.75,-60.5929
2.76,-60.5363
2.77,-60.4751
2.78,-60.4093
2.79,-60.3386
2.8,-60.263
2.81,-60.1824
2.82,-60.0965
2.83,-60.0053
2.84,-59.9087
2.85,-59.8066
2.86,-59.6988
2.87,-59.5853
2.88,-59.466
2.89,-59.341
2.9,-59.2102
2.91,-59.0737
2.92,-58.9318
2.93,-58.7847
2.94,-58.6327
2.95,-58.4763
2.96,-58.3162
2.97,-58.1531
2.98,-57.988
2.99,-57.8218
3,-57.6556

